'annuary_id','module'
5426,'W|P|80|_|ZA|72|_'
5426,'G|_|80|9|ZA|84|9'
5426,'L|E|82|9|_|6744'
5426,'=|G|84|_|__|__|_'
5426,'Z|_|84|_|ZT|__|_'
5426,'G|_|88|9|ZA|00|9'
5426,'S|S|98|7|CA|__|_'
5426,'L|T|00|_|_|5426'
5426,'S|P|00|7|GR|__|_'
5426,'S|P|04|7|GR|__|_'
5426,'A|P|10|C|ZA|__|_'
5426,'A|_|__|_|ZA|13|5'
5426,'Y|_|13|6|DC|__|_'
5426,'Z|I|13|6|DC|__|_'
5426,'S|P|13|A|SL|__|_'
5426,'W|_|14|_|__|08|7'
5590,'BH|07|_|MO|30|A'
5590,'BT|08|_|MO|__|1'
5590,'BT|09|4|MO|25|1'
5590,'S|P|13|A|MO|__|_'
5590,'BR|14|A|DF|__|_'
5740,'S|P|24|7|QU|__|_'
5740,'G|_|27|9|QU|29|6'
5771,'G|_|21|1|TL|25|1'
5771,'S|P|26|7|TL|__|_'
5800,'S|P|28|7|TE|__|_'
5800,'H|_|29|A|TE|29|C'
6132,'H|_|20|4|TE|20|6'
6169,'H|_|13|9|MO|13|A'
6190,'=|L|16|_|__|__|_'
6190,'I|_|16|A|GT|16|B'
6190,'I|_|16|C|GT|16|C'
6210,'Q|C|16|5|CA|01|2'
6210,'H|_|20|5|CA|20|7'
6210,'G|_|21|1|CA|21|2'
6299,'L|F|00|_|_|2072'
6299,'BV|10|B|DU|18|1'
6299,'BT|10|B|DU|__|4'
6299,'W|P|19|_|__|07|8'
6299,'Y|_|19|4|CV|__|_'
6361,'Z|_|25|1|CT|__|_'
6385,'Z|_|23|A|EP|__|_'
6396,'BN|88|8|TL|08|8'
6396,'BC|97|1|TL|08|5'
6396,'BW|98|_|TL|47|8'
6396,'BW|08|_|TL|51|8'
6396,'BW|10|_|TL|66|_'
6396,'BT|10|8|TL|04|4'
6396,'BV|10|9|TL|06|E'
6396,'BV|10|9|TL|08|E'
6396,'BR|10|9|TL|__|4'
6396,'BA|10|A|TL|__|3'
6396,'L|G|11|_|_|8128'
6396,'L|M|11|1|_|8121'
6396,'L|U|12|A|_|2348'
6396,'BV|13|_|TL|__|1'
6396,'L|M|13|2|_|8121'
6396,'L|M|13|A|_|8221'
6396,'L|E|14|8|_|2102'
6396,'W|_|14|8|TL|06|C'
6396,'BT|14|A|TL|07|C'
6396,'BT|14|B|TL|07|A'
6396,'BL|15|_|TL|07|A'
6396,'L|E|15|1|_|2051'
6396,'BT|16|C|TL|62|8'
6396,'W|_|16|C|TL|08|8'
6396,'BT|16|C|TL|__|8'
6396,'BM|17|8|PU|__|8'
6404,'L|F|90|_|_|1913'
6404,'L|F|90|_|_|1159'
6404,'L|S|14|_|_|1996'
6404,'BT|14|A|__|15|8'
6404,'BR|15|_|__|__|7'
6439,'BT|16|4|__|__|B'
6457,'BN|66|_|DU|18|3'
6457,'L|F|00|_|_|2072'
6457,'BV|10|B|DU|18|1'
6457,'BT|10|B|DU|__|4'
6457,'W|R|11|7|DU|06|4'
6457,'BQ|13|_|SI|01|C'
6457,'BV|13|3|DU|18|1'
6457,'BT|14|9|DU|__|8'
6457,'BT|14|A|__|14|8'
6710,'BT|57|_|JA|70|_'
6710,'A|_|59|_|DU|__|_'
6710,'BO|59|5|DU|__|_'
6710,'BT|66|_|QU|71|_'
6710,'W|_|67|_|GR|08|_'
6710,'G|_|68|_|GR|__|_'
6710,'G|_|85|3|GR|93|6'
6710,'BR|93|6|GR|__|F'
6710,'BM|03|_|DF|01|1'
6710,'BN|31|_|JA|01|1'
7076,'BN|91|5|GR|19|_'
7076,'BC|03|1|GR|19|_'
7076,'BC|05|2|PU|24|3'
7076,'BW|09|_|PU|29|1'
7076,'BI|09|_|PU|05|_'
7076,'BT|09|6|PU|24|3'
7076,'L|U|10|_|_|8129'
7076,'BW|10|_|PU|29|1'
7076,'BF|10|_|GR|78|_'
7076,'BT|10|4|PU|04|4'
7076,'BE|10|C|US|11|_'
7076,'Q|M|11|4|MO|__|4'
7076,'L|J|11|8|_|2157'
7076,'BT|13|3|DF|62|7'
7076,'BL|14|4|CO|09|7'
7076,'BT|14|9|VE|62|A'
7076,'BT|16|3|OA|20|0'
7076,'BT|16|5|VE|62|E'
7076,'BL|18|3|NL|03|E'
7076,'BT|20|_|__|62|F'
7076,'W|_|21|3|__|09|_'
7076,'Y|_|22|B|ZG|23|1'
7076,'Z|_|23|1|PT|__|_'
7076,'Z|_|__|_|TC|23|3'
7076,'Z|_|26|1|NT|__|_'
7076,'Z|_|__|_|LT|29|6'
7076,'M|_|30|2|CM|31|A'
7110,'H|_|00|6|CS|02|9'
7110,'H|_|02|9|CN|03|2'
7127,'H|_|15|_|CS|16|A'
7127,'W|P|15|_|CS|04|8'
7130,'G|_|20|8|CS|24|9'
7214,'BN|89|_|CH|38|6'
7214,'=|I|17|_|DF|01|_'
7214,'L|C|18|_|_|7011'
7214,'BK|18|_|CH|10|8'
7214,'BW|18|_|QU|22|_'
7214,'BK|18|_|CH|14|8'
7214,'L|C|18|B|_|7011'
7214,'I|_|19|2|CH|19|3'
7214,'I|_|19|7|CH|19|8'
7214,'I|_|19|9|CH|19|4'
7214,'I|_|20|1|CH|20|1'
7214,'H|_|20|2|CH|20|3'
7250,'BN|__|_|GT|07|_'
7250,'=|L|11|_|__|__|_'
7250,'H|_|11|5|GT|11|6'
7250,'BT|11|A|GT|32|_'
7280,'I|_|11|6|HI|11|7'
7394,'BM|15|6|CO|26|2'
7629,'S|S|17|3|OT|__|_'
7798,'BV|11|1|DU|12|_'
7798,'BD|11|3|SI|23|1'
7798,'BP|11|5|DU|15|5'
7798,'A|_|11|6|DU|__|_'
7798,'BQ|12|4|SI|01|A'
8067,'BN|88|_|TA|01|1'
8067,'=|P|04|_|TA|__|_'
8067,'BT|06|9|US|26|9'
8067,'BR|06|A|US|__|4'
8067,'BW|21|_|DF|23|1'
8102,'BK|11|6|PU|17|4'
8109,'BN|83|_|TB|09|_'
8109,'=|I|13|_|__|__|_'
8109,'BV|13|4|TB|13|1'
