'place_id','city_id','city'
'SI','12','Ahome'
'SI','13','San Javier'
'SI','14','Copala'
'SI','15','Angostura'
'SI','16','Sataya'
'SI','17','Tepuche'
'SI','18','Siqueiros'
'SI','19','Los lXíochis'
'SI','20','Bequillosj m. Mocorito'
'SI','21','Pánuco, m. Concordia'
'SI','22','Estación Guamuchil'
'SI','23','Badiguarato'
'SI','24','Guadalupe de los Reyes'
'SI','25','Casa Blanca'
'SI','26','Palmillas'
'SI','27','Palma Sola'
'SI','28','San Pedro'
'SI','29','San Blas'
'SI','30','El Potrero'
'SI','31','Imola'
'SI','32','Tominíl'
'SI','33','Santa Lucía'
'SI','34','El Verde'
'SI','35','Guasave'
'SI','36','Comedero'
'SI','37','San Antonio, m. Choix'
'SI','38','La Noria'
'SI','39','Toro'
'SI','40','Las Cabras'
'SI','41','San Lorenzo'
'SI','42','Tetaroba, m. El Fuerte'
'SI','43','Choix'
'SI','44','Bacamarí'
'SI','45','Jahuara'
'SI','46','Ocoroní'
'SI','48','Yecorato, dto. El Fuerte'
'SI','49','San José de Gracia'
'SI','50','Topolobampo'
'SI','51','Escuinapa'
'SI','55','Potreros'
'SI','57','El Charay'
'SL','01','San Luis Potosí'
'SL','02','Tequisquiapan'
'SL','03','Tlaxcala'
'SL','04','Santa María del Río'
'SL','05','Iturbide'
'SL','06','Río Verde'
'SL','07','Ciudad del Maíz'
'SL','08','Venado'
'SL','09','Matehuala'
'SL','10','Cerritos'
'SL','11','Salinas'
'SL','12','Tancanhuitz'
'SL','13','Guadalcázar'
'SL','14','Alaquines'
'SL','15','Ciudad de Valles'
'SL','16','San Luis Potosí'
'SL','17','Cárdenas'
'SL','18','Tamazunchale'
'SL','19','El Ebano'
'SL','20','San Nicolás Tolentino'
'SL','21','San Dieguito'
'SL','22','Tampalomón'
'SL','23','Charcas'
'SL','24','Catorce'
'SL','25','Potreritos, m. Guadalcázar'
'SL','26','Villa de Arriaga'
'SL','27','Soledad de los Ríos, Díez—Gutiérrez'
'SL','28','Municipio de Rayón'
'SL','29','Villa Xilita'
'SL','30','Hac. de Santiago, m,SLP'
'SL','31','Ahualulco'
'SL','32','Tampacan'
'SL','33','San Martín'
'SL','34','Minas Viejas'
'SL','35','Axtla'
'SL','36','Tanlajas'
'SL','37','Vanegas'
'SL','38','Cedral'
'SL','39','Ramos'
'SL','40','Villa de los Pozos'
'SO','01','Ures'
'SO','02','Hermosillo'
'SO','03','Alamos'
'SO','04','Magdalena'
'SO','05','Arizpe'
'SO','06','Guaymas'
'SO','07','Villa de Altar'
'SO','08','Navojoa'
'SO','09','Bavispe'
'SO','10','Cananea'
'SO','11','Nogales'
'SO','12','Fronteras, m. Arizpe'
'SO','13','Potarm'
'SO','14','Estación Ortiz'
'SO','15','Quiriego, m. Navojoa'
'SO','16','La Colorada'
'SO','17','Minas Prietas'
'SO','18','Moctezuma'
'SO','19','Huépac'
'SO','20','San Marcial'
'SO','21','Promontorios'
'SO','22','Sahuaripa'
'SO','23','Cerro Prieto, d. Moctezuma'
'SO','24','Min. El Barrigón, d. Moctez.'
'SO','25','Nuri'
'SO','26','Sierra de Ajos'
'SO','27','Pilares de Teras'
'SO','28','Colonia Morelos'
'SO','29','Min. El Tigre, Moctezuma'
'SO','30','Cumpas'
'SO','31','Soyapa'
'SO','32','La Dura'
'SO','33','Agua Prieta'
'SO','34','Caborca, dto. Altar'
'SO','35','Cruz de Piedra'
'SO','36','Nacozari'
'SO','37','Valle del Yaqui'
'SO','38','Santa Ana'
'SO','40','Min. Las Chispas'
'SO','41','Huatabampo'
'SO','42','La Junta'
'SO','43','Torín'
'SO','44','Siquinava, m. Navojoa'
'SO','45','San Miguel de Horcasitas'
'SO','46','Naco'
'SO','48','Aldama, m. Alamos'
'SO','50','Tecoripa'
'TA','01','Ciudad Victoria'
'TA','02','Matamoros'
'TA','03','Tampico'
'TA','04','Tula'
'TA','05','Jaumave'
'TA','06','Altamira'
'TA','08','San Nicolás'
'TA','09','Antiguo Morelos'
'TA','10','Camargo'
'TA','12','Villa Escandón (Ciu. Xicoténcatl)'
'TA','13','Ciudad Guerrero'
'TA','14','Ciudad Reinosa'
'TA','15','Jiménez'
'TA','16','Míiquihuana'
'TA','17','San Fernando'
'TA','18','Padilla'
'TA','19','Villagrán'
'TB','01','San Juan Bautista =Villahermosa'
