'city_id','place_id','city'
'24','ZA','Jalpa'
'25','ZA','Corrales, m. Sombrerete'
'26','ZA','Valparaíso'
'27','ZA','Villa de Cos'
'28','ZA','Sierra Hermosa'
'29','ZA','Moyahua'
'30','ZA','Noria de los Ángeles'
'31','ZA','Calera'
'32','ZA','Hac. Pinos Cuates, Sierra Morones'
'33','ZA','San Salvador, m. Concoro'
'34','ZA','Sauceda de los Mulatos'
